Listing extensions (default action, see --help).
Looking for the newly published extensions in registry.quarkus.io
Current Quarkus extensions installable: 

✬ ArtifactId                                         Extension                                                    Version                   Guide
✬ camel-quarkus-google-bigquery                      Camel Google BigQuery                                        3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/google-bigquery.html
✬ camel-quarkus-google-calendar                      Camel Google Calendar                                        3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/google-calendar.html
✬ camel-quarkus-google-drive                         Camel Google Drive                                           3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/google-drive.html
✬ camel-quarkus-google-mail                          Camel Google Mail                                            3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/google-mail.html
✬ camel-quarkus-google-pubsub                        Camel Google Pubsub                                          3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/google-pubsub.html
✬ camel-quarkus-google-sheets                        Camel Google Sheets                                          3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/google-sheets.html
✬ camel-quarkus-google-storage                       Camel Google Storage                                         3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/google-storage.html
✬ camel-quarkus-graphql                              Camel GraphQL                                                3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/graphql.html
✬ camel-quarkus-grok                                 Camel Grok                                                   3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/grok.html
✬ camel-quarkus-groovy                               Camel Groovy                                                 3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/groovy.html
✬ camel-quarkus-groovy-dsl                           Camel Groovy DSL                                             3.15.1                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/groovy-dsl.html
✬ camel-quarkus-grpc                                 Camel gRPC                                                   3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/grpc.html
✬ camel-quarkus-gson                                 Camel Gson                                                   3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/gson.html
✬ camel-quarkus-hashicorp-vault                      Camel Hashicorp Vault                                        3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/hashicorp-vault.html
✬ camel-quarkus-hazelcast                            Camel Hazelcast Atomic Number                                3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/hazelcast.html
✬ camel-quarkus-headersmap                           Camel Headersmap                                             3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/headersmap.html
✬ camel-quarkus-hl7                                  Camel HL7                                                    3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/hl7.html
✬ camel-quarkus-http                                 Camel HTTP                                                   3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/http.html
✬ camel-quarkus-ical                                 Camel iCal                                                   3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/ical.html
✬ camel-quarkus-infinispan                           Camel Infinispan                                             3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/infinispan.html
✬ camel-quarkus-influxdb                             Camel InfluxDB                                               3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/influxdb.html
✬ camel-quarkus-jackson                              Camel Jackson                                                3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/jackson.html
✬ camel-quarkus-jackson-avro                         Camel Avro Jackson                                           3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/jackson-avro.html
✬ camel-quarkus-jackson-protobuf                     Camel Protobuf Jackson                                       3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/jackson-protobuf.html
